Название ноутбука;Описание ноутбука;Цена ноутбука
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 16GB DDR 256GB SSD Intel Iris Xe Graphics FHD DOS серый;"Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 16GB DDR 256GB SSD Intel Iris Xe Graphics FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i7-1165G; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Iris Xe Graphic; Объем оперативной памяти: 16 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.68 кг";94460 сом
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 12GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS Black;"Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 12GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS BlackОперационная система DOS; процессор Intel Core i5-10300H (4/8) 2500 - 4500 MHz; видеоадаптер NVIDIA RTX 3050; экран 17.3"" IPS 1920x1080; оперативная память 12 GB DDR4; накопитель HDD 1000 GB +...";118070 сом
Ноутбук MSI GF65 Thin Intel Core i5-10500H 8GB DDR4 512GB SSD Nvidia RTX 3060 6GB FHD W10 черный;"Ноутбук MSI GF65 Thin Intel Core i5-10500H 8GB DDR4 512GB SSD Nvidia RTX 3060 6GB FHD W10 черныйТип: ноутбук; Операционная система: Windows 10; Процессор: Intel Core i5-10500H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia RTX 3060; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 1.86 кг";96210 сом
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 256GB SSD NVidia MX330 2GB FHD DOS серый;"Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 256GB SSD NVidia MX330 2GB FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000; Объем накопителя SSD: 256 GB; Вес: от 1.85 кг";65110 сом
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 8GB DDR 512GB SSD Intel Iris Xe Graphics FHD DOS серый;"Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 8GB DDR 512GB SSD Intel Iris Xe Graphics FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i7-1165G; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Iris Xe Graphic; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 1.68 кг";92710 сом
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 16GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS Black;"Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 16GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS BlackОперационная система DOS; процессор Intel Core i5-10300H (4/8) 2500 - 4500 MHz; видеоадаптер NVIDIA RTX 3050; экран 17.3"" IPS 1920x1080; оперативная память 16 GB DDR4; накопитель HDD 1000 GB +...";119380 сом
Ноутбук Asus TUF FX506LH-HN082 Intel Core i5-10300H 8GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Black;"Ноутбук Asus TUF FX506LH-HN082 Intel Core i5-10300H 8GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS BlackОперационная система DOS; процессор Intel Core i5-10300H (4/8) 2500 - 4500 MHz; видеоадаптер GTX 1650; экран 15.6"" IPS 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 512 GB; DVDRW нет;...";80450 сом
Ноутбук Samsung Chromebook Plus Intel Celeron 3965Y 4GB DDR 32GB eMMC Intel HD Graphics 615 FHD Chrome OS серебристый;"Ноутбук Samsung Chromebook Plus Intel Celeron 3965Y 4GB DDR 32GB eMMC Intel HD Graphics 615 FHD Chrome OS серебристыйТип: ноутбук; Операционная система: Chrome OS; Процессор: Intel Celeron 3965Y; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 615; Объем оперативной памяти: 4 Gb DDR3; Объем накопителя eMMC: 32 Gb; Вес: от 1.33 кг";30810 сом
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 8GB DDR 256GB SSD Intel Iris Xe Graphics FHD DOS серый;"Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 8GB DDR 256GB SSD Intel Iris Xe Graphics FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i7-1165G; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Iris Xe Graphic; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.68 кг";90080 сом
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 24GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS Black;"Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 24GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS BlackОперационная система DOS; процессор Intel Core i5-10300H (4/8) 2500 - 4500 MHz; видеоадаптер NVIDIA RTX 3050; экран 17.3"" IPS 1920x1080; оперативная память 24 GB DDR4; накопитель HDD 1000 GB +...";125060 сом
Название ноутбука;Описание ноутбука;Цена ноутбука
Ноутбук HP ENVY x360 Intel Core i5-1135G7 8GB DDR 256GB SSD Intel Iris Xe Graphics G7 FHD W10 Pale Gold;"Ноутбук HP ENVY x360 Intel Core i5-1135G7 8GB DDR 256GB SSD Intel Iris Xe Graphics G7 FHD W10 Pale GoldТип: ноутбук; Операционная система: Windows 10; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Iris Xe Graphics G7; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя SSD: 256 Gb; Вес: от 1.32 кг";79130 сом
Ноутбук Asus TUF Gaming FX506H Intel Core i5-11400H 16GB DDR4 512GB SSD NVIDIA RTX 3050 FHD DOS BK Graphite Black;"Ноутбук Asus TUF Gaming FX506H Intel Core i5-11400H 16GB DDR4 512GB SSD NVIDIA RTX 3050 FHD DOS BK Graphite BlackОперационная система DOS; процессор Intel Core i5 (6/12) 2700 - 4500 MHz; видеоадаптер RTX 3050 4GB GDDR6 128bit; экран 15.6"" IPS 1920x1080; оперативная память 16 GB DDR4; накопитель SSD 512...";105100 сом
Ноутбук Asus X515MA Intel Celeron N4120 8GB DDR4 240GB SSD W10 Grey;"Ноутбук Asus X515MA Intel Celeron N4120 8GB DDR4 240GB SSD W10 GreyОперационная система Windows 10; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 240 Гб; DVDRW нет; вес от 1.8 кг";36810 сом
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 4GB DDR4 240GB SSD NVIDIA MX330 DOS Black;"Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 4GB DDR4 240GB SSD NVIDIA MX330 DOS BlackОперационная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Nvidia MX330 2 GB GDDR5; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 240 GB; DVDRW...";45800 сом
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 512GB SSD NVidia MX330 2GB FHD DOS серый;"Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 512GB SSD NVidia MX330 2GB FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000; Объем накопителя SSD: 512 GB; Вес: от 1.85 кг";68620 сом
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 8GB DDR 128GB SSD Intel Iris Xe Graphics FHD DOS серый;"Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 8GB DDR 128GB SSD Intel Iris Xe Graphics FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i7-1165G; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Iris Xe Graphic; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 128 Gb; Вес: от 1.68 кг";89200 сом
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 32GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS Black;"Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 32GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS BlackОперационная система DOS; процессор Intel Core i5-10300H (4/8) 2500 - 4500 MHz; видеоадаптер NVIDIA RTX 3050; экран 17.3"" IPS 1920x1080; оперативная память 32 GB DDR4; накопитель HDD 1000 GB +...";129430 сом
Ноутбук HP 250 G8 Intel Pentium N5030 4GB DDR4 256GB SSD DOS Silver;"Ноутбук HP 250 G8 Intel Pentium N5030 4GB DDR4 256GB SSD DOS SilverОперационная система DOS; процессор Intel Pentium N5030 (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 256 GB; DVDRW нет;...";31870 сом
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 8GB DDR4 240GB SSD NVIDIA MX330 DOS Black;"Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 8GB DDR4 240GB SSD NVIDIA MX330 DOS BlackОперационная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Nvidia MX330 2 GB GDDR5; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 240 GB; DVDRW...";47990 сом
Ноутбук Asus ZenBook 13 UX325EA Intel Core i7-1165G7 16GB DDR 512GB SSD Intel Iris X Graphics FHD WIN10 сине-серый;"Ноутбук Asus ZenBook 13 UX325EA Intel Core i7-1165G7 16GB DDR 512GB SSD Intel Iris X Graphics FHD WIN10 сине-серыйТип: ноутбук; Операционная система: Windows 10; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Iris X Graphics; Объем оперативной памяти: 16 GB DDR4; Объем накопителя SSD: 512 GB; Вес: от 1,07 кг";105830 сом
Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 48GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS Black;"Ноутбук Acer Nitro AN517-57 Intel Core i5-10300H 48GB DDR4 1000GB + 512GB SSD NVIDIA RTX 3050 FHD DOS BlackОперационная система DOS; процессор Intel Core i5-10300H (4/8) 2500 - 4500 MHz; видеоадаптер NVIDIA RTX 3050; экран 17.3"" IPS 1920x1080; оперативная память 48 GB DDR4; накопитель HDD 1000 GB +...";141830 сом
Ноутбук HP 250 G8 Intel Pentium N5030 16GB DDR4 256GB SSD DOS Silver;"Ноутбук HP 250 G8 Intel Pentium N5030 16GB DDR4 256GB SSD DOS SilverОперационная система DOS; процессор Intel Pentium N5030 (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 16 GB DDR4; накопитель SSD 256 GB; DVDRW нет;...";37430 сом
Ноутбук Acer Aspire A315-57G Intel Core i7-1065G7 12GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Black;"Ноутбук Acer Aspire A315-57G Intel Core i7-1065G7 12GB DDR4 512GB SSD NVIDIA MX330 FHD DOS BlackОперационная система DOS; процессор Intel Core i7 (4/8) 1300 MHz; видеоадаптер NVIDIA MX330 2GB GDDR5; экран 15.6"" TN 1920x1080; оперативная память 12 GB DDR4; накопитель SSD 512 GB; DVDRW нет;...";69490 сом
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD NVidia MX330 2GB FHD DOS серый;"Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD NVidia MX330 2GB FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000; Вес: от 1.85 кг";59840 сом
Ноутбук Acer Aspire A315-57G Intel Core i7-1065G7 12GB DDR4 128GB SSD NVIDIA MX330 FHD DOS Black;"Ноутбук Acer Aspire A315-57G Intel Core i7-1065G7 12GB DDR4 128GB SSD NVIDIA MX330 FHD DOS BlackОперационная система DOS; процессор Intel Core i7 (4/8) 1300 MHz; видеоадаптер NVIDIA MX330 2GB GDDR5; экран 15.6"" TN 1920x1080; оперативная память 12 GB DDR4; накопитель SSD 128 GB; DVDRW нет;...";66420 сом
Ноутбук Lenovo Ideapad 3 15IGL05 Intel Pentium N5030 4GB DDR 1000GB HDD + 240GB SSD Intel UHD Graphics 605 HD DOS серый;"Ноутбук Lenovo Ideapad 3 15IGL05 Intel Pentium N5030 4GB DDR 1000GB HDD + 240GB SSD Intel UHD Graphics 605 HD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium N5030; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 605; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 240 Gb; Вес: от...";32230 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 500GB HDD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 500GB HDD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500 GB; DVDRW...";36990 сом
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 256GB SSD NVidia MX330 2GB FHD DOS серый;"Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 256GB SSD NVidia MX330 2GB FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя SSD: 256 GB; Вес: от 1.85 кг";60720 сом
Ноутбук Lenovo Ideapad 3 15IGL05 Intel Pentium N5030 4GB DDR 500GB SSD Intel UHD Graphics 605 HD DOS серый;"Ноутбук Lenovo Ideapad 3 15IGL05 Intel Pentium N5030 4GB DDR 500GB SSD Intel UHD Graphics 605 HD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium N5030; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 605; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 500 Gb; Вес: от 1.7 кг";32750 сом-3%31870 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 500GB HDD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 500GB HDD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 500 GB; DVDRW...";38750 сом
Название ноутбука;Описание ноутбука;Цена ноутбука
Ноутбук MSI Pulse GL6 Intel Core i7-11800H 16GB DDR 1000GB SSD Nvidia GeForce RTX 3060 6GB QHD DOS серый;"Ноутбук MSI Pulse GL6 Intel Core i7-11800H 16GB DDR 1000GB SSD Nvidia GeForce RTX 3060 6GB QHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i7-11800H; Разрешение экрана: 2560x1440 QHD; Графический контроллер: Nvidia GeForce RTX 3060; Объем оперативной памяти: 16 GB DDR4; Объем накопителя SSD: 1000 GB; Вес: от 2,25 кг";167780 сом-2%164280 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 1000GB HDD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 1000GB HDD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 1000 GB; DVDRW...";38920 сом
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 4GB DDR4 240GB SSD NVIDIA MX330 FHD DOS Black;"Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 4GB DDR4 240GB SSD NVIDIA MX330 FHD DOS BlackОперационная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Nvidia MX330 2 GB GDDR5; экран 15.6"" TN 1920x1080; оперативная память 4 GB DDR4; накопитель SSD 240 GB; DVDRW...";46240 сом
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 512GB SSD NVidia MX330 2GB FHD DOS серый;"Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 512GB SSD NVidia MX330 2GB FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя SSD: 512 GB; Вес: от 1.85 кг";64230 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 128GB SSD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 128GB SSD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 128 GB; DVDRW...";36990 сом
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 8GB DDR4 240GB SSD NVIDIA MX330 FHD DOS Black;"Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 8GB DDR4 240GB SSD NVIDIA MX330 FHD DOS BlackОперационная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Nvidia MX330 2 GB GDDR5; экран 15.6"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 240 GB; DVDRW...";48430 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 128GB SSD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 128GB SSD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 128 GB; DVDRW...";38750 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 256GB SSD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 256GB SSD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 256 GB; DVDRW...";37870 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 256GB SSD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 256GB SSD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 256 GB; DVDRW...";39630 сом
Ноутбук Acer Travelmate B1 TMB118-M Intel Celeron N4120 4GB DDR4 64GB EMMC DOS Black;"Ноутбук Acer Travelmate B1 TMB118-M Intel Celeron N4120 4GB DDR4 64GB EMMC DOS BlackОперационная система DOS; 2х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 11.6"" TN 1366х768; объем оперативной памяти 4 Гб; накопитель eMMC 64 Гб; вес от 1.52 кг";25070 сом-4%24190 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 512GB SSD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 512GB SSD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 512 GB; DVDRW...";41390 сом
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 240GB SSD Intel HD Graphics HD DOS Black;"Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 240GB SSD Intel HD Graphics HD DOS BlackТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1366x768 HD; Графический контроллер: Intel UHD Graphics; Объем оперативной памяти: 4 Gb DDR4; Объем накопителя SSD: 240 Gb; Вес: от 1.9 кг";38390 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 500GB HDD + 128GB SSD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 500GB HDD + 128GB SSD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500GB + SSD...";38750 сом
